WELL ID,WELL NAME,APPROXIMATE LATITUDE,APPROXIMATE LONGITUDE,CHEMICAL,QUALIFIER,RESULT,UNITS,DATE,DATASET_CAT,DATASET,COUNTY,RB,GW_BASIN_NAME,ASSEMBLY,SENATE
TEH 665,TEH 665,40.283,-122.426,TCE,ND,0,UG/L,4/5/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,REDDING AREA - BOWMAN (5-6.01),3,4
TEH 746,TEH 746,40.253,-122.228,TCE,ND,0,UG/L,4/28/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - BEND (5-21.53),3,4
TEH 682,TEH 682,40.276,-122.344,TCE,ND,0,UG/L,4/15/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,REDDING AREA - BOWMAN (5-6.01),3,4
TEH 862,TEH 862,40.047,-122.111,TCE,ND,0,UG/L,5/24/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - DYE CREEK (5-21.55),3,4
TEH 732,TEH 732,40.246,-122.204,TCE,ND,0,UG/L,4/27/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - BEND (5-21.53),3,4
TEH 816,TEH 816,40.024,-122.104,TCE,ND,0,UG/L,5/25/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - LOS MOLINOS (5-21.56),3,4
TEH 815,TEH 815,40.026,-122.103,TCE,ND,0,UG/L,5/19/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - LOS MOLINOS (5-21.56),3,4
TEH 824,TEH 824,40.033,-122.096,TCE,ND,0,UG/L,5/19/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - LOS MOLINOS (5-21.56),3,4
TEH 696,TEH 696,40.276,-122.382,TCE,ND,0,UG/L,4/19/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,REDDING AREA - BOWMAN (5-6.01),3,4
TEH 833,TEH 833,40.255,-122.207,TCE,ND,0,UG/L,5/18/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - BEND (5-21.53),3,4
TEH 684,TEH 684,40.283,-122.286,TCE,ND,0,UG/L,4/15/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,REDDING AREA - BOWMAN (5-6.01),3,4
TEH 673,TEH 673,40.294,-122.268,TCE,ND,0,UG/L,4/13/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,REDDING AREA - BOWMAN (5-6.01),3,4
TEH 735,TEH 735,40.238,-122.21,TCE,ND,0,UG/L,4/20/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - BEND (5-21.53),3,4
TEH 790,TEH 790,40.252,-122.371,TCE,ND,0,UG/L,5/12/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - RED BLUFF (5-21.50),3,4
TEH 854,TEH 854,40.262,-122.211,TCE,ND,0,UG/L,5/20/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - BEND (5-21.53),3,4
TEH 792,TEH 792,40.201,-122.229,TCE,ND,0,UG/L,5/10/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - RED BLUFF (5-21.50),3,4
TEH 896,TEH 896,40.056,-122.068,TCE,ND,0,UG/L,6/3/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - DYE CREEK (5-21.55),3,4
TEH 698,TEH 698,40.278,-122.355,TCE,ND,0,UG/L,4/26/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,REDDING AREA - BOWMAN (5-6.01),3,4
TEH 726,TEH 726,40.043,-122.105,TCE,ND,0,UG/L,4/26/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - DYE CREEK (5-21.55),3,4
TEH 849,TEH 849,40.02,-122.082,TCE,ND,0,UG/L,5/18/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - LOS MOLINOS (5-21.56),3,4
TEH 658,TEH 658,40.296,-122.273,TCE,ND,0,UG/L,4/6/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,REDDING AREA - BOWMAN (5-6.01),3,4
TEH 810,TEH 810,40.282,-122.255,TCE,ND,0,UG/L,5/11/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - RED BLUFF (5-21.50),3,4
TEH 650,TEH 650,40.285,-122.338,TCE,ND,0,UG/L,4/5/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,REDDING AREA - BOWMAN (5-6.01),3,4
TEH 871,TEH 871,40.039,-122.093,TCE,ND,0,UG/L,5/24/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - DYE CREEK (5-21.55),3,4
TEH 845,TEH 845,40.037,-122.102,TCE,ND,0,UG/L,5/17/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - LOS MOLINOS (5-21.56),3,4
TEH 668,TEH 668,40.335,-122.352,TCE,ND,0,UG/L,4/6/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,REDDING AREA - BOWMAN (5-6.01),3,4
TEH 888,TEH 888,40.048,-122.11,TCE,ND,0,UG/L,6/2/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - DYE CREEK (5-21.55),3,4
TEH 740,TEH 740,40.293,-122.291,TCE,ND,0,UG/L,4/19/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,REDDING AREA - BOWMAN (5-6.01),3,4
TEH 762,TEH 762,40.303,-122.073,TCE,ND,0,UG/L,5/5/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - BEND (5-21.53),3,4
TEH 822,TEH 822,40.021,-122.097,TCE,ND,0,UG/L,5/20/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - LOS MOLINOS (5-21.56),3,4
TEH 852,TEH 852,40.052,-122.102,TCE,ND,0,UG/L,5/18/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - DYE CREEK (5-21.55),3,4
TEH 653,TEH 653,40.299,-122.355,TCE,ND,0,UG/L,4/7/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,REDDING AREA - BOWMAN (5-6.01),3,4
TEH 814,TEH 814,40.032,-122.092,TCE,ND,0,UG/L,5/19/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - LOS MOLINOS (5-21.56),3,4
TEH 662,TEH 662,40.269,-122.315,TCE,ND,0,UG/L,4/21/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - RED BLUFF (5-21.50),3,4
TEH 848,TEH 848,40.026,-122.099,TCE,ND,0,UG/L,5/17/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - LOS MOLINOS (5-21.56),3,4
TEH 866,TEH 866,40.044,-122.102,TCE,ND,0,UG/L,5/26/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - DYE CREEK (5-21.55),3,4
TEH 894,TEH 894,40.025,-122.108,TCE,ND,0,UG/L,6/3/2005,WATER SUPPLY (WELLS),GAMA,TEHAMA,5,SACRAMENTO VALLEY - LOS MOLINOS (5-21.56),3,4
