WELL ID,WELL NAME,APPROXIMATE LATITUDE,APPROXIMATE LONGITUDE,CHEMICAL,QUALIFIER,RESULT,UNITS,DATE,DATASET_CAT,DATASET,COUNTY,RB,GW_BASIN_NAME,ASSEMBLY,SENATE
GA5824063956,TUL1095,36.404,-118.884,DBCP,ND,0,UG/L,6/21/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,NO BASIN FOUND,23,8
GCWC10000001,NTC12,36.054,-119.019,DBCP,ND,0,UG/L,10/7/2015,WATER SUPPLY (WELLS),GAMA,TULARE,5,SAN JOAQUIN VALLEY - TULE (5-22.13),26,14
GCWC10000001,NTC19,36.532,-119.257,DBCP,ND,0,UG/L,1/21/2016,WATER SUPPLY (WELLS),GAMA,TULARE,5,SAN JOAQUIN VALLEY - KINGS (5-22.08),23,14
GA9625333487,TUL1076,36.293,-119.171,DBCP,ND,0,UG/L,6/15/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,SAN JOAQUIN VALLEY - KAWEAH (5-22.11),26,16
GCWC10000001,NTC22,36.552,-119.28,DBCP,ND,0,UG/L,1/21/2016,WATER SUPPLY (WELLS),GAMA,TULARE,5,SAN JOAQUIN VALLEY - KINGS (5-22.08),26,14
GCWC10000001,NTC31,36.058,-118.995,DBCP,ND,0,UG/L,3/8/2016,WATER SUPPLY (WELLS),GAMA,TULARE,5,SAN JOAQUIN VALLEY - TULE (5-22.13),26,14
GA1274350821,TUL1007,36.499,-119.421,DBCP,ND,0,UG/L,6/7/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,SAN JOAQUIN VALLEY - KINGS (5-22.08),26,14
GA0000000921,TUL917,36.342,-119.131,DBCP,ND,0,UG/L,4/19/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,SAN JOAQUIN VALLEY - KAWEAH (5-22.11),26,16
GA1038968741,TUL1081,36.239,-119.249,DBCP,ND,0,UG/L,6/15/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,SAN JOAQUIN VALLEY - KAWEAH (5-22.11),26,16
GA1218183219,TUL995,36.003,-118.906,DBCP,ND,0,UG/L,5/17/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,NO BASIN FOUND,26,16
GA8726651847,TUL1026,36.437,-119.105,DBCP,ND,0,UG/L,5/23/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,SAN JOAQUIN VALLEY - KAWEAH (5-22.11),23,8
GA4226239860,TUL948,35.923,-119.256,DBCP,ND,0,UG/L,4/26/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,SAN JOAQUIN VALLEY - TULE (5-22.13),26,14
GA2999616324,TUL951,35.849,-119.225,DBCP,ND,0,UG/L,4/26/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,SAN JOAQUIN VALLEY - TULE (5-22.13),26,14
GA9127103507,TUL1093,36.433,-119.331,DBCP,ND,0,UG/L,6/21/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,SAN JOAQUIN VALLEY - KINGS (5-22.08),26,14
GA2127301871,TUL1111,36.573,-119.274,DBCP,ND,0,UG/L,6/22/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,SAN JOAQUIN VALLEY - KINGS (5-22.08),26,14
GA3416959464,TUL1091,36.345,-119.05,DBCP,ND,0,UG/L,6/21/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,SAN JOAQUIN VALLEY - KAWEAH (5-22.11),23,16
GA6313367545,TUL1011,35.93,-119.271,DBCP,=,0.036,UG/L,5/24/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,SAN JOAQUIN VALLEY - TULE (5-22.13),26,14
GA0000000918,TUL910,36.398,-119.078,DBCP,ND,0,UG/L,4/19/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,SAN JOAQUIN VALLEY - KAWEAH (5-22.11),23,14
GA7485196769,TUL1074,36.528,-119.32,DBCP,ND,0,UG/L,6/14/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,SAN JOAQUIN VALLEY - KINGS (5-22.08),26,14
GA5601178824,TUL944,36.092,-119.022,DBCP,ND,0,UG/L,4/27/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,SAN JOAQUIN VALLEY - TULE (5-22.13),26,14
GA7433011710,TUL1100,36.62,-119.093,DBCP,ND,0,UG/L,6/20/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,NO BASIN FOUND,23,8
GA0000000959,TUL934,36.187,-119.155,DBCP,ND,0,UG/L,4/25/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,SAN JOAQUIN VALLEY - KAWEAH (5-22.11),26,14
GA2042020499,TUL1075,36.309,-119.159,DBCP,ND,0,UG/L,6/15/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,SAN JOAQUIN VALLEY - KAWEAH (5-22.11),26,16
GA3611005485,TUL1103,36.374,-119.276,DBCP,ND,0,UG/L,6/20/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,SAN JOAQUIN VALLEY - KAWEAH (5-22.11),26,16
GA5854413688,TUL1001,36.254,-118.791,DBCP,ND,0,UG/L,5/16/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,NO BASIN FOUND,23,16
GCWC10000001,NTC16,36.533,-119.28,DBCP,ND,0,UG/L,11/17/2015,WATER SUPPLY (WELLS),GAMA,TULARE,5,SAN JOAQUIN VALLEY - KINGS (5-22.08),26,14
GCWC10000001,NTC17,36.494,-119.276,DBCP,ND,0,UG/L,11/17/2015,WATER SUPPLY (WELLS),GAMA,TULARE,5,SAN JOAQUIN VALLEY - KINGS (5-22.08),26,14
GA0000000942,TUL927,36.371,-118.843,DBCP,ND,0,UG/L,4/20/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,NO BASIN FOUND,23,8
GA0000000924,TUL925,36.486,-119.196,DBCP,ND,0,UG/L,4/20/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,SAN JOAQUIN VALLEY - KAWEAH (5-22.11),23,14
GA0000000912,TUL915,36.37,-119.019,DBCP,ND,0,UG/L,4/19/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,SAN JOAQUIN VALLEY - KAWEAH (5-22.11),23,16
GA8331556022,TUL964,36.64,-119.165,DBCP,ND,0,UG/L,5/10/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,NO BASIN FOUND,23,8
GCWC10000001,NTC24,35.966,-119.056,DBCP,ND,0,UG/L,2/11/2016,WATER SUPPLY (WELLS),GAMA,TULARE,5,SAN JOAQUIN VALLEY - TULE (5-22.13),26,14
GCWC10000001,NTC21,36.543,-119.281,DBCP,ND,0,UG/L,1/21/2016,WATER SUPPLY (WELLS),GAMA,TULARE,5,SAN JOAQUIN VALLEY - KINGS (5-22.08),23,14
GA8698774039,TUL993,36.016,-118.903,DBCP,ND,0,UG/L,5/17/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,NO BASIN FOUND,26,16
GA6236737906,TUL999,35.926,-119.265,DBCP,=,0.012,UG/L,5/18/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,SAN JOAQUIN VALLEY - TULE (5-22.13),26,14
GA0000000907,TUL907,36.38,-119.2,DBCP,ND,0,UG/L,4/18/2006,WATER SUPPLY (WELLS),GAMA,TULARE,5,SAN JOAQUIN VALLEY - KAWEAH (5-22.11),26,14
