WELL ID,WELL NAME,APPROXIMATE LATITUDE,APPROXIMATE LONGITUDE,CHEMICAL,QUALIFIER,RESULT,UNITS,DATE,DATASET_CAT,DATASET,COUNTY,RB,GW_BASIN_NAME,ASSEMBLY,SENATE
GASD00000814,SD 814,33.035,-116.841,PCE,<,0.5,UG/L,5/7/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,SANTA MARIA VALLEY (9-11),71,38
GASD00000917,SD 917,33.006,-117.234,PCE,<,0.5,UG/L,12/9/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,77,39
GASD00000906,SD 906,32.803,-116.632,PCE,<,0.5,UG/L,12/3/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,40
GASD00000804,SD 804,33.026,-116.82,PCE,<,0.5,UG/L,4/30/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,38
GASD00000908,SD 908,32.72,-116.823,PCE,<,0.5,UG/L,12/3/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,40
GASD00000910,SD 910,32.628,-116.352,PCE,<,0.5,UG/L,12/3/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,40
GASD00000945,SD 945,32.623,-116.418,PCE,<,0.5,UG/L,1/6/2009,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,40
GASD00000923,SD 923,33.238,-116.982,PCE,<,0.5,UG/L,12/11/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,75,38
GASD00000824,SD 824,33.093,-116.828,PCE,<,0.5,UG/L,5/14/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,38
GASD00000808,SD 808,33.033,-116.813,PCE,<,0.5,UG/L,5/1/2008,WATER SUPPLY (WELLS),GAMA,SAN DIEGO,9,NO BASIN FOUND,71,38
